,index,Farm_ID,Farm_uni_ID,Flowcell,Routine_vaccine,culled,w_des,Household_waste,Antibiotic_admin,Supplement,Isolation,npeopl_contact,workers_exp_oa,visitors_inside,other_pa,Type_farm,Unit_traffic,ventilation,water_supply,feed_stored,dogs,Breed_strain,Ruminants,OtherBirds,N_breed,campy,shi,gall,Farm_ID_check,Date,Farm.GPS,N_GPS,E_GPS,Geog_cluster,GWAS,Observed,Chao1,se.chao1,Shannon,InvSimpson,PA2
AECK7CM6,AECK07CM6,AECK-07-C,Farm_AECK-07,AM15C,yes,Normal,yes,no,no,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,CK,176,0,0,AECK-7(C),24-Jan-16,"22.62874N, 70.94519E",22.62874N,70.94519,C1,417,608,775.5851064,33.13397401,4.456857528,23.67513009,PA2
AECK7CM7,AECK07CM7,AECK-07-C,Farm_AECK-07,AM15C,yes,Normal,yes,no,no,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,CK,206,0,0,AECK-7(C),24-Jan-16,"22.62874N, 70.94519E",22.62874N,70.94519,C1,418,431,473.1186441,13.1547795,4.270321599,21.18795677,PA1
AECK7CM8,AECK07CM8,AECK-07-C,Farm_AECK-07,AM15C,yes,Normal,yes,no,no,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,CK,296,9,0,AECK-7(C),24-Jan-16,"22.62874N, 70.94519E",22.62874N,70.94519,C1,419,671,811,28.99526618,5.027356469,51.12265944,PA2
AECK7CM9,AECK07CM9,AECK-07-C,Farm_AECK-07,AM15C,yes,Normal,yes,no,no,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,CK,20,17,1,AECK-7(C),24-Jan-16,"22.62874N, 70.94519E",22.62874N,70.94519,C1,420,530,685.1807229,32.30849501,4.064015988,16.11208043,PA2
AECK8CM1,AECK08CM1,AECK-08-K,Farm_AECK-08,AM15C,no,high,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,4,8,0,AECK-8(K),01-Feb-16,"22.79130N, 74.02202E",22.79130N,74.02202,C10,421,707,945.3333333,42.69115039,4.881526494,44.28341433,PA3
AECK8CM10,AECK08CM10,AECK-08-C,Farm_AECK-08,AM15C,no,Normal,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,10,0,0,AECK-8(C),01-Feb-16,"22.79130N, 74.02202E",22.79130N,74.02202,C10,422,713,848.006993,25.17047852,5.060776204,60.44112447,PA3
AECK8CM2,AECK08CM2,AECK-08-K,Farm_AECK-08,AM15C,no,high,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,35,14,0,AECK-8(K),01-Feb-16,"22.79130N, 74.02202E",22.79130N,74.02202,C10,423,728,879.9811321,29.73203607,5.042685702,45.42109938,PA1
AECK8CM9,AECK08CM9,AECK-08-C,Farm_AECK-08,AM15C,no,Normal,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,19,0,0,AECK-8(C),01-Feb-16,"22.79130N, 74.02202E",22.79130N,74.02202,C10,430,729,1000.9375,48.28648325,4.938565716,45.36988706,PA3
AECK9CM1,AECK09CM1,AECK-09-K,Farm_AECK-09,AM15C,no,high,no,yes,no,no,no,7,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,173,66,0,AECK-9(K),01-Feb-16,"22.78281N, 74.02314E",22.78281N,74.02314,C10,431,639,834.3111111,37.82077122,5.058827578,65.41974531,PA3
AECK9CM10,AECK09CM10,AECK-09-C,Farm_AECK-09,AM15C,no,Normal,no,yes,no,no,no,7,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,9,71,0,AECK-9(C),01-Feb-16,"22.78281N, 74.02314E",22.78281N,74.02314,C10,432,592,727.8426966,28.58430309,4.872020232,45.41077417,PA3
AECK9CM2,AECK09CM2,AECK-09-K,Farm_AECK-09,AM15C,no,high,no,yes,no,no,no,7,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,383,74,0,AECK-9(K),01-Feb-16,"22.78281N, 74.02314E",22.78281N,74.02314,C10,433,586,781.4675325,39.60589856,4.951013992,64.95117442,PA3
AECK9CM3,AECK09CM3,AECK-09-K,Farm_AECK-09,AM15C,no,high,no,yes,no,no,no,7,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,1314,48,0,AECK-9(K),01-Feb-16,"22.78281N, 74.02314E",22.78281N,74.02314,C10,434,366,418.9607843,16.14215513,4.225537076,24.96913522,PA3
AECK9CM4,AECK09CM4,AECK-09-K,Farm_AECK-09,AM15C,no,high,no,yes,no,no,no,7,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,418,33,0,AECK-9(K),01-Feb-16,"22.78281N, 74.02314E",22.78281N,74.02314,C10,435,545,657.5102041,24.13466796,4.658309109,46.24427623,PA3
AECK9CM6,AECK09CM6,AECK-09-C,Farm_AECK-09,AM15C,no,Normal,no,yes,no,no,no,7,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,348,10,0,AECK-9(C),01-Feb-16,"22.78281N, 74.02314E",22.78281N,74.02314,C10,437,848,1026.468966,30.94947775,5.465651136,99.6910622,PA3
AECK9CM8,AECK09CM8,AECK-09-C,Farm_AECK-09,AM15C,no,Normal,no,yes,no,no,no,7,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,no,CK,548,0,0,AECK-9(C),01-Feb-16,"22.78281N, 74.02314E",22.78281N,74.02314,C10,439,770,940.0854701,31.57080799,5.200889297,63.59903922,PA3
AEC10CM1,AEC10CM1,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,45,66,0,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,1,772,890.8932039,24.84452189,5.445744849,95.67632619,PA2
AEC10CM10,AEC10CM10,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,ND,ND,ND,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,EXCLUDED,204,208.4,3.557477882,4.233937723,36.6362758,PA2
AEC10CM2,AEC10CM2,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,191,96,0,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,2,765,889.2335766,23.90792864,5.121614903,54.8803193,PA2
AEC10CM3,AEC10CM3,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,67,119,0,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,3,814,944.5395683,24.71842209,5.190941949,44.81892843,PA2
AEC10CM4,AEC10CM4,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,281,225,0,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,4,687,781.1481481,22.14686706,5.475885833,112.2582449,PA2
AEC10CM5,AEC10CM5,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,111,0,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,5,780,904.1415929,25.06880377,5.382672777,70.52022109,PA2
AEC10CM7,AEC10CM7,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,218,357,0,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,7,348,361.2857143,6.459405635,4.533703998,25.71388066,PA2
AEC10CM8,AEC10CM8,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,8,554,605.7391304,14.74610687,5.283824534,97.77189337,PA2
AEC10CM9,AEC10CM9,AEC-10,Farm_AEC-10,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,94,0,AEC-10,11-Dec-15,"23.71034N, 72.92004E",23.71034N,72.92004,C4,9,761,877.637931,23.76385456,5.442559398,95.81221076,PA2
AEC11CM10,AEC11CM10,AEC-11,Farm_AEC-11,AM15F,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,0,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,11,476,530.6,16.20752431,4.602975245,30.43354663,PA1
AEC11CM2,AEC11CM2,AEC-11,Farm_AEC-11,AM15F,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,85,0,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,12,460,540.7169811,22.0135184,4.482572323,26.05770001,PA2
AEC11CM3,AEC11CM3,AEC-11,Farm_AEC-11,AM15F,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,55,99,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,13,606,706.6493506,23.60689528,5.036459059,65.83054281,PA1
AEC11CM4,AEC11CM4,AEC-11,Farm_AEC-11,AM15F,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,166,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,14,583,683.345679,23.24356925,4.919805769,61.55907345,PA2
AEC11CM5,AEC11CM5,AEC-11,Farm_AEC-11,AM15F,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,0,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,15,329,350.483871,9.337101645,4.449958844,32.62825495,PA1
AEC11CM7,AEC11CM7,AEC-11,Farm_AEC-11,AM15F,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,0,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,17,580,636.25,14.82020646,4.841949784,31.73320493,PA1
AEC11CM8,AEC11CM8,AEC-11,Farm_AEC-11,AM15F,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,225,0,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,18,443,526.637931,22.08363865,4.199705029,18.13754714,PA2
AEC11CM9,AEC11CM9,AEC-11,Farm_AEC-11,AM15F,yes,Normal,yes,no,no,no,yes,5,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,0,0,AEC-11,12-Dec-15,"22.88164N, 74.35999E",22.88164N,74.35999,C10,19,459,543.3181818,21.47661359,4.199703174,21.08704228,PA1
AEC12CM1,AEC12CM1,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,2975,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,20,177,190.3333333,8.849796744,3.467479072,11.29682985,PA2
AEC12CM10,AEC12CM10,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,21,404,467.0185185,18.13622098,3.641557008,7.002582669,PA2
AEC12CM2,AEC12CM2,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,22,552,616.2647059,15.78824055,4.463717701,18.12423334,PA2
AEC12CM3,AEC12CM3,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,23,281,298.2222222,8.206933398,3.854101427,13.46125578,PA2
AEC12CM4,AEC12CM4,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,355,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,24,507,555.345679,13.53097178,4.584406535,36.24807821,PA1
AEC12CM5,AEC12CM5,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,631,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,25,285,327.5,15.65885908,2.978407117,4.478113817,PA2
AEC12CM6,AEC12CM6,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,224,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,26,357,394.5681818,12.95996907,4.315501378,23.25159511,PA2
AEC12CM7,AEC12CM7,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,357,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,27,455,495.25,12.67751458,4.663303485,34.06404174,PA2
AEC12CM8,AEC12CM8,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,64,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,28,368,406.0377358,12.51751532,3.382522674,5.68540964,PA2
AEC12CM9,AEC12CM9,AEC-12,Farm_AEC-12,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-12,15-Dec-15," 23.99798N, 72.30842E", 23.99798N,72.30842,C3,29,559,636,20.28835086,4.891851467,44.65645072,PA2
AEC13CM2,AEC13CM2,AEC-13,Farm_AEC-13,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,C,0,6,0,AEC-13,01-Jan-16,"21.96496N, 73.03529E",21.96496N,73.03529,C7,31,530,607,20.28834339,4.394434004,16.82165177,PA1
AEC13CM3,AEC13CM3,AEC-13,Farm_AEC-13,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,C,31,0,0,AEC-13,01-Jan-16,"21.96496N, 73.03529E",21.96496N,73.03529,C7,32,547,628.4925373,20.84602829,4.778424651,28.93183762,PA1
AEC13CM4,AEC13CM4,AEC-13,Farm_AEC-13,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,C,41,0,0,AEC-13,01-Jan-16,"21.96496N, 73.03529E",21.96496N,73.03529,C7,33,544,590.6829268,13.15805073,4.958928077,56.28607049,PA2
AEC13CM5,AEC13CM5,AEC-13,Farm_AEC-13,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,C,0,100,0,AEC-13,01-Jan-16,"21.96496N, 73.03529E",21.96496N,73.03529,C7,34,358,455.02,25.80121477,3.225285433,8.188386999,PA2
AEC13CM6,AEC13CM6,AEC-13,Farm_AEC-13,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,C,167,0,0,AEC-13,01-Jan-16,"21.96496N, 73.03529E",21.96496N,73.03529,C7,35,427,455.1538462,9.643915713,4.259066537,25.04910142,PA2
AEC13CM7,AEC13CM7,AEC-13,Farm_AEC-13,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-13,01-Jan-16,"21.96496N, 73.03529E",21.96496N,73.03529,C7,36,484,527.125,13.54830067,4.757628355,40.49869585,PA2
AEC13CM8,AEC13CM8,AEC-13,Farm_AEC-13,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,C,265,0,0,AEC-13,01-Jan-16,"21.96496N, 73.03529E",21.96496N,73.03529,C7,37,496,555.7017544,17.17571717,4.740175352,37.66631437,PA2
AEC13CM9,AEC13CM9,AEC-13,Farm_AEC-13,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-13,01-Jan-16,"21.96496N, 73.03529E",21.96496N,73.03529,C7,38,346,407.0344828,20.91914297,4.06076272,18.57039875,PA2
AEC14CM10,AEC14CM10,AEC-14,Farm_AEC-14,AM15F,yes,Normal,yes,no,yes,no,yes,3,no,no,no,open,yes,Artificial,Automatic,Within premises,yes,Commercial broiler,no,no,C,1006,0,0,AEC-14,01-Jan-16,"20.73900N, 73.05600E",20.73900N,73.056,C5,40,420,469.2295082,14.63583365,4.279558385,21.98010607,PA2
AEC15CM1,AEC15CM1,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,16,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,49,583,610.5070423,9.318321599,5.386595596,113.3337321,PA1
AEC15CM10,AEC15CM10,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,50,611,675.2,16.23477546,5.083513896,58.62198335,PA1
AEC15CM2,AEC15CM2,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,ND,ND,ND,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,EXCLUDED,84,85.5,2.59300679,3.613244617,19.64902937,PA1
AEC15CM3,AEC15CM3,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,120,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,51,605,665.9358974,16.15711957,5.107579443,56.06134836,PA2
AEC15CM4,AEC15CM4,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,30,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,52,669,760.7333333,21.14623849,5.139313734,40.59391004,PA2
AEC15CM6,AEC15CM6,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,113,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,54,519,545.5,9.683353056,5.17027406,66.76508706,PA1
AEC15CM7,AEC15CM7,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,144,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,55,663,752.1267606,21.98025577,5.3280459,68.18861099,PA2
AEC15CM8,AEC15CM8,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,0,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,56,608,698.5538462,22.76993278,5.197976608,60.901789,PA1
AEC15CM9,AEC15CM9,AEC-15,Farm_AEC-15,AM15F,yes,Normal,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,27,0,AEC-15,04-Jan-16,"22.98041N, 72.72283E",22.98041N,72.72283,C8,57,715,789.2258065,17.9217518,5.499614322,101.3638033,PA1
AEC8CM1,AEC08CM1,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,54,341,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,125,627,714.4,21.35225245,5.057235103,50.71548479,PA1
AEC8CM10,AEC08CM10,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,235,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,126,506,532.5263158,8.963288613,4.777166389,28.27959581,PA2
AEC8CM2,AEC08CM2,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,73,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,127,729,822.8,21.21450514,5.474032231,80.16165595,PA1
AEC8CM3,AEC08CM3,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,0,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,128,461,492.5714286,11.52905307,4.935967976,58.15627781,PA1
AEC8CM4,AEC08CM4,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,164,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,129,675,801.7356322,27.26421735,4.923812503,29.96176847,PA1
AEC8CM5,AEC08CM5,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,0,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,130,471,565.7205882,23.28757674,3.694770415,8.741060269,PA2
AEC8CM6,AEC08CM6,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,0,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,131,636,765.0151515,29.82510389,4.87366925,23.97852458,PA1
AEC8CM7,AEC08CM7,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,0,0,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,132,655,740.4117647,20.33224292,5.192878906,68.72582002,PA1
AEC8CM8,AEC08CM8,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,162,0,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,133,624,683.6981132,14.84196535,4.858027288,39.43414887,PA2
AEC8CM9,AEC08CM9,AEC-08,Farm_AEC-08,AM15F,yes,Normal,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,yes,no,C,48,55,0,AEC-08,10-Dec-15,"22.39684N, 72.85340E",22.39684N,72.8534,C8,134,565,604.8181818,12.31102623,4.94100412,36.49500602,PA1
AEC9CM10,AEC09CM10,AEC-09,Farm_AEC-09,AM15F,yes,Normal,yes,no,yes,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,190,71,0,AEC-09,11-Dec-15,"23.69950N, 72.93678E",23.69950N,72.93678,C4,136,740,863.9833333,24.6677817,5.04840665,44.37669408,PA2
AEC9CM2,AEC09CM2,AEC-09,Farm_AEC-09,AM15F,yes,Normal,yes,no,yes,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,113,873,0,AEC-09,11-Dec-15,"23.69950N, 72.93678E",23.69950N,72.93678,C4,137,593,693.6493506,23.60689276,4.416474748,20.98410941,PA2
AEC9CM3,AEC09CM3,AEC-09,Farm_AEC-09,AM15F,yes,Normal,yes,no,yes,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,144,289,0,AEC-09,11-Dec-15,"23.69950N, 72.93678E",23.69950N,72.93678,C4,138,425,501.5151515,19.95138736,4.057626145,18.88543877,PA2
AEC9CM4,AEC09CM4,AEC-09,Farm_AEC-09,AM15F,yes,Normal,yes,no,yes,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,219,238,0,AEC-09,11-Dec-15,"23.69950N, 72.93678E",23.69950N,72.93678,C4,139,544,618.5063291,18.69451584,4.407133468,22.75534465,PA2
AEC9CM5,AEC09CM5,AEC-09,Farm_AEC-09,AM15F,yes,Normal,yes,no,yes,yes,yes,5,no,no,no,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,no,no,C,0,237,0,AEC-09,11-Dec-15,"23.69950N, 72.93678E",23.69950N,72.93678,C4,140,757,870.1102362,22.71279874,5.053309387,43.64383809,PA2
